"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1812683534831649135","Mon Jul 15 03:00:07 +0000 2024","236883","when you finally text everyone back but they respond right away https://t.co/ERdkFZzdID","1812683534831649135","https://pbs.twimg.com/media/GSfyEV9W0AAWq5h.jpg","","en","","1523","270","31380","https://x.com/Whotfismick/status/1812683534831649135","1208397496411668481","Whotfismick"
"1812835193826258960","Mon Jul 15 13:02:45 +0000 2024","18638","Finally!! The face behind the legendary Arabic commentary is now unveiled. This man gives me joy more than the football itself. https://t.co/YobsT9mzti","1812835193826258960","https://pbs.twimg.com/amplify_video_thumb/1812835114029617152/img/rXIj1M-aF5tzFygf.jpg","","en","Kano, Nigeria","455","425","5327","https://x.com/Aboki_Nagari/status/1812835193826258960","3511337183","Aboki_Nagari"
"1812999875971412313","Mon Jul 15 23:57:08 +0000 2024","1256","Finally got some more RH stands in the mail to use for these ghouls https://t.co/b9GPaQO1yC","1812999875971412313","https://pbs.twimg.com/media/GSkRxrbWUAABt6B.jpg","","en","He/him 📍nyc ","8","7","72","https://x.com/dollinque/status/1812999875971412313","1684710469641129984","dollinque"
"1813000303794659518","Mon Jul 15 23:58:50 +0000 2024","1","Invent Animate is finally performing 'Purity Weeps' live https://t.co/gDMdxk6WS1","1813000303794659518","https://pbs.twimg.com/media/GSkSKtMbIAMQllY.jpg","","en","","0","0","0","https://x.com/HoityPuff/status/1813000303794659518","1140620891086192647","HoityPuff"
"1812999171940753672","Mon Jul 15 23:54:21 +0000 2024","971","Finally finished it https://t.co/57iepsu14Y","1812999171940753672","https://pbs.twimg.com/ext_tw_video_thumb/1812999154479603712/pu/img/sWobtZC4mxHGgo_w.jpg","","en","","5","14","187","https://x.com/kadzu3/status/1812999171940753672","1137809111020703744","kadzu3"
"1812999006047642068","Mon Jul 15 23:53:41 +0000 2024","10","Now I can finally game https://t.co/7yPrIoIvHy","1812999006047642068","https://pbs.twimg.com/media/GSkQ_O1bIAEoxWC.jpg","","en","","0","2","0","https://x.com/_RinTomomi_/status/1812999006047642068","1441472390760833032","_RinTomomi_"
"1812655078337352168","Mon Jul 15 01:07:02 +0000 2024","2338","I ve had it with the both sides bullshit on violent rhetoric. It s not the left. It s Trump and MAGA Republicans. Gabriel Sterling warned about this last election and guess what someone finally got shot and killed. The blood is on their hands. #TrumpIsNotFitToBePresident https://t.co/QzRu6EAVRj","1812655078337352168","https://pbs.twimg.com/ext_tw_video_thumb/1812655034552750081/pu/img/4LiPuqp72hHdciGu.jpg","","en","Pennsylvania, USA","44","333","1176","https://x.com/USMCLiberal/status/1812655078337352168","2908017153","USMCLiberal"
"1812954140424745293","Mon Jul 15 20:55:24 +0000 2024","44315","i finally figured out who Alys is..ur not gonna believe this.. https://t.co/iLrd72OxpO","1812954140424745293","https://pbs.twimg.com/media/GSjoLWZXwAAXNFW.jpg","","en","Baltimore, MD","778","370","2859","https://x.com/ThisGrayArea/status/1812954140424745293","827167628795981825","ThisGrayArea"
"1812999467559510207","Mon Jul 15 23:55:31 +0000 2024","5","me‍scaring the hoes so im finally free https://t.co/gnB8vNdznY","1812999467559510207","https://pbs.twimg.com/tweet_video_thumb/GSkRZ5rXEAAByM6.jpg","","en","nyc𖤓20","0","0","0","https://x.com/journbotany/status/1812999467559510207","1374907049474023424","journbotany"
"1812999909320368231","Mon Jul 15 23:57:16 +0000 2024","24","It s officially guys it has finally happened‼️ Got an A+ draft grade on @DraftersFantasy best-ball draft from the goats @BigDraftersHQ &amp; @2fatguysff https://t.co/jmx2FqEv13","1812999909320368231","https://pbs.twimg.com/media/GSkRzuqacAImtrS.jpg","","en","Fresno, CA","0","5","9","https://x.com/SleezBallFF/status/1812999909320368231","976546447238705152","SleezBallFF"
