conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,account_type
1.74e+18,Mon Jan 01 23:59:45 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code 2LTHC or click the link https://t.co/oUG6O9oR0v,1.74e+18,,,en,unknown,0,0,0,https://x.com/IllhyunP/status/1741972511188021422,1.47e+18,IllhyunP,bot
1.74e+18,Mon Jan 01 23:59:35 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code SABHI or click the link https://t.co/0Ver47Hx0C,1.74e+18,,,en,unknown,0,0,0,https://x.com/IllhyunP/status/1741972467558813933,1.47e+18,IllhyunP,bot
1.74e+18,Mon Jan 01 23:59:13 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code MDMIJ or click the link https://t.co/cRsAxeJn2C,1.74e+18,,,en,unknown,0,0,0,https://x.com/IllhyunP/status/1741972376378859962,1.47e+18,IllhyunP,bot
1.74e+18,Mon Jan 01 23:58:54 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code 7XQJC or click the link https://t.co/sSubrfN5UJ,1.74e+18,,,en,unknown,0,0,0,https://x.com/ramsterlove81/status/1741972296464519478,1.13e+18,ramsterlove81,bot
1.74e+18,Mon Jan 01 23:56:44 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code MBN8N or click the link https://t.co/PvSXcnAt8c,1.74e+18,,,en,London,0,0,0,https://x.com/SteveTangUK/status/1741971751129567595,30431726.0,SteveTangUK,bot
1.74e+18,Mon Jan 01 23:56:25 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code RFUWJ or click the link https://t.co/qZlKUmPaex,1.74e+18,,,en,EU,0,0,0,https://x.com/YoungHa_eu/status/1741971670867333574,1.43e+18,YoungHa_eu,bot
1.74e+18,Mon Jan 01 23:55:30 +0000 2024,0,*Clicks on the Michigan &amp; #RoseBowl trends* *Sees a lot of posts from users telling people to click on a link to watch the game* Seriously the faster Elon Musk leaves Twitter the better. This site has gotten worse with him in charge. Anyone who thinks otherwise is an idiot.,1.74e+18,,,en,unknown,0,0,0,https://x.com/Foolish_Banana/status/1741971443254956071,2315636791.0,Foolish_Banana,bot
1.74e+18,Mon Jan 01 23:54:04 +0000 2024,6,boy i was scared to write link click but so far it's been fun hehe. writing tdbktd's constant bickering has prepared me for this moment. https://t.co/RQnsw40ynY,1.74e+18,https://pbs.twimg.com/media/GCy5dxPXcAAM4iy.png,,en,unknown,1,2,2,https://x.com/yuuutsushitsu/status/1741971079155839286,1.53e+18,yuuutsushitsu,bot
1.74e+18,Mon Jan 01 23:52:09 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code MK6QG or click the link https://t.co/5mTbAii162 #mantapacific #coinfarming,1.74e+18,,,en,unknown,0,0,0,https://x.com/MBA_3791/status/1741970597473640557,1.57e+18,MBA_3791,bot
1.74e+18,Mon Jan 01 23:51:39 +0000 2024,0,Manta New Paradigm is HERE!! I'm getting PENTA rewards Manta rewards for it you can too. Join my team with this invite code GXX7V or click the link https://t.co/Uu8YKCeJwi,1.74e+18,,,en,unknown,0,0,0,https://x.com/monmontesQ/status/1741970470625546243,1.44e+18,monmontesQ,bot
