conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,account_type
1834327309949829430,Thu Sep 12 23:59:59 +0000 2024,1,@stan1m1r @CryptoMichNL look at the trend bro.. many coin has been breakout..,1834381476416422234,no image,stan1m1r,en,unkown,0,3,0,https://x.com/FazrilZaimy/status/1834381476416422234,1458707782614413317,FazrilZaimy,human
1834020034965913693,Thu Sep 12 23:59:59 +0000 2024,3,@misterB1003 @siV_leP @rightsofrefusal Bro it's more accurate then you realize. I don't think Ive ever met a drywaller that still has all of their original teeth,1834381476361625798,no image,misterB1003,en,unkown,0,0,0,https://x.com/not_tattered666/status/1834381476361625798,1677743279113134081,not_tattered666,human
1834381475019366621,Thu Sep 12 23:59:59 +0000 2024,1,What happened to COD man,1834381475019366621,no image,no reply,en,"Queens, NY",0,0,0,https://x.com/DNGSofaBro/status/1834381475019366621,1535571798837829633,DNGSofaBro,human
1834370125337682095,Thu Sep 12 23:59:58 +0000 2024,1,@_AceMiggy Thanks man really needed the kind words tonight bro!,1834381470682447978,no image,_AceMiggy,en,"Winston-Salem, NC",0,1,0,https://x.com/Gunteaser/status/1834381470682447978,4107860907,Gunteaser,human
1834381470590292223,Thu Sep 12 23:59:58 +0000 2024,0,Me clean the whole house today bro and me feel like me lose 10 pounds how the place clean and light.,1834381470590292223,no image,no reply,en,Omni-Present,0,1,0,https://x.com/4evaAnthonylfc/status/1834381470590292223,123736991,4evaAnthonylfc,human
1834361529136771553,Thu Sep 12 23:59:58 +0000 2024,0,@LaMayoriaPeru @lcarrillopinto Pues no creo bro 20 esta bien pero las limitaciones que ponen hace que uno se la piense mejor seria bajar el precio del plan normal y ya,1834381470166638772,no image,LaMayoriaPeru,es,Quebec,0,0,0,https://x.com/Bull_Maguire/status/1834381470166638772,930977408,Bull_Maguire,human
1833878862364570083,Thu Sep 12 23:59:58 +0000 2024,0,@FearedBuck What did he really expect would happen the ship would ve stopped like he fanning down a bus ? Bro better start swimming ,1834381470082716007,no image,FearedBuck,en,unkown,0,0,0,https://x.com/liwtxt/status/1834381470082716007,1720833481381400576,liwtxt,human
1834373859320954923,Thu Sep 12 23:59:56 +0000 2024,0,@wtf_rema Ah bro how ??,1834381464424587397,no image,wtf_rema,en,Ontario Canada ,0,0,0,https://x.com/ysarfoboafo/status/1834381464424587397,1347610996265918464,ysarfoboafo,human
1834381462990454880,Thu Sep 12 23:59:56 +0000 2024,398,this shirt is anabolic as fucc bro https://t.co/xhawbUSKn7,1834381462990454880,https://pbs.twimg.com/media/GXUIN6CXYAAVhcF.jpg,no reply,en,"Washington, DC",0,5,14,https://x.com/Tophurrr/status/1834381462990454880,422335098,Tophurrr,human
1834004640251175003,Thu Sep 12 23:59:56 +0000 2024,2,@WutumSG @ITBHalo ur trash bro,1834381462042255696,no image,WutumSG,en,🇳🇱 / 🇸🇷,0,0,0,https://x.com/zMightys/status/1834381462042255696,1042852330398515201,zMightys,human
1834381460624617739,Thu Sep 12 23:59:56 +0000 2024,0,Man that end game trump v Harris vid is cringe as fuck bro lmao,1834381460624617739,no image,no reply,en,"North Carolina, USA",0,0,0,https://x.com/dana_somethin/status/1834381460624617739,989500818,dana_somethin,human
1834381460351902004,Thu Sep 12 23:59:55 +0000 2024,174,bro why did the make gfs chest like this lol https://t.co/PR8Zw1iJqf,1834381460351902004,https://pbs.twimg.com/media/GXUH_6QWsAARBC2.jpg,no reply,en,unkown,1,9,7,https://x.com/muto157/status/1834381460351902004,1123760373964972036,muto157,human
1834381325031063973,Thu Sep 12 23:59:55 +0000 2024,0,@ZeusLFG What s bro cooking ,1834381459886383339,no image,ZeusLFG,en,United States,0,0,0,https://x.com/helium_mobile/status/1834381459886383339,1568425000935518209,helium_mobile,human
1834260762195267969,Thu Sep 12 23:59:54 +0000 2024,0,@Rodascope @Willoefrfr Yeah?,1834381455272591421,no image,Rodascope,en,unkown,0,1,0,https://x.com/BroDraku22061/status/1834381455272591421,1805881984771641344,BroDraku22061,human
1834232420440142236,Thu Sep 12 23:59:54 +0000 2024,0,@GabbyHerzig Should've lit it for her. Got to imagine greatness first little bro.,1834381454739902775,no image,GabbyHerzig,en,19146,0,0,0,https://x.com/npninja/status/1834381454739902775,525092298,npninja,human
1834366872633987280,Thu Sep 12 23:59:54 +0000 2024,2,@DanteM16 @Bylethh_3 @goreshino Si si bro,1834381454073065686,no image,DanteM16,es,unkown,0,0,0,https://x.com/Lini_Nammie/status/1834381454073065686,1469009317655425029,Lini_Nammie,human
1834296831385153787,Thu Sep 12 23:59:54 +0000 2024,8,@VoiceOfOurAnces Obviously bro you know nothing of the Haitian culture where voodoo and witchcraft is a non-acknowledged and still practiced. Talk to any Haitian about it. To clarify not all or majority practices this. It s still a part of the culture for a very long time. Ask the Dominican,1834381452877730034,no image,VoiceOfOurAnces,en,"Pennsylvania, USA",0,1,3,https://x.com/Gregcterry3024/status/1834381452877730034,814139263390535680,Gregcterry3024,human
1834376515003220267,Thu Sep 12 23:59:54 +0000 2024,1,@deepsoulnature Happy morning bro,1834381452731089333,no image,deepsoulnature,en,📍 Kashmir,0,0,0,https://x.com/MANSOORNABI12/status/1834381452731089333,1243039061347983362,MANSOORNABI12,human
1834061367948558788,Thu Sep 12 23:59:53 +0000 2024,1,@openthegrave bro what ,1834381450273030357,no image,openthegrave,en,"New York, USA",0,1,0,https://x.com/itsjessbitch0/status/1834381450273030357,1815412843732230144,itsjessbitch0,human
1834381449933271306,Thu Sep 12 23:59:53 +0000 2024,1,Ronaldo really went through a lot at man united bro https://t.co/DewMBH3wxM,1834381449933271306,https://pbs.twimg.com/media/GXUINLdWgAAucj2.jpg,no reply,en,Nigeria ,0,0,0,https://x.com/nolifefahard/status/1834381449933271306,1075653714646585344,nolifefahard,human
1834369287273767100,Thu Sep 12 23:59:53 +0000 2024,0,@_Junk_ That s when you baptize them in the holy fire that is Febreze all while shouting the power of nerdy rizz compels you! . They do seriously need to check people like that more often at shops yeah you spent hours perfecting your deck but you also haven t bathed in three days bro,1834381449652306026,no image,_Junk_,en,The Necro-Crypt/Dark Atelier,0,0,0,https://x.com/GeraldVolron/status/1834381449652306026,1488002987326951427,GeraldVolron,human
1834123447519080455,Thu Sep 12 23:59:52 +0000 2024,1,@LotteryParlays @UpstateFuture @brui4ns1 @WallStreetSilv To be clear they re waiting because they already did enough around Trump I m sitting here thinking bro there s so much good material to hit Biden and Harris with too which they didn t do enough of,1834381446670074195,no image,LotteryParlays,en,unkown,0,1,0,https://x.com/EthereumWave/status/1834381446670074195,1330590205762527232,EthereumWave,human
1834381444824858773,Thu Sep 12 23:59:52 +0000 2024,24,Memang la jahat sbb liberal yg nak tegakkan hak peliwat dan kebebasan meliwat. Agama hukum peliwat sekeras2 nya. Bro kalau sel2 otak tak berhubung lagi boleh pegi makan kismis dulu sebelum tweet.,1834381444824858773,no image,no reply,in,unkown,0,0,13,https://x.com/syarcastic/status/1834381444824858773,434071801,syarcastic,human
1834063087042711913,Thu Sep 12 23:59:52 +0000 2024,0,@CommercialTycon @RossKneeDeep .... bro?,1834381444359356507,no image,CommercialTycon,und,unkown,0,0,0,https://x.com/Ceratisa/status/1834381444359356507,3239645946,Ceratisa,human
1834291567705616852,Thu Sep 12 23:59:51 +0000 2024,2,@CaligulaTism he s already tiny bro is 5 7 ,1834381443671486870,no image,CaligulaTism,en,16 | she,0,0,0,https://x.com/marshallsfav/status/1834381443671486870,1609501118647926786,marshallsfav,human
1834020825801912477,Thu Sep 12 23:59:51 +0000 2024,0,@YoChubbs_ Bro buy that house you used as a prop and fix it up ya heard?,1834381442710745431,no image,YoChubbs_,en,Michiana/USA/NA - 33yrs old.,0,0,0,https://x.com/MadeSLoppy/status/1834381442710745431,1668723047728140288,MadeSLoppy,human
1834381442555564231,Thu Sep 12 23:59:51 +0000 2024,0,nah bro like these giannis 𝓯𝓻𝓮𝓪𝓴 5s be hittin diff lowkey like how do i make more swishes in 1 hour than i have in 2 years,1834381442555564231,no image,no reply,en,Arizona,0,0,0,https://x.com/nitrosheep67x/status/1834381442555564231,1632482533907795968,nitrosheep67x,human
1834338341958955188,Thu Sep 12 23:59:51 +0000 2024,3,@ZeusCFF @Jarritos @deebyman @ethwhaledave @TheBellaD12 @treowx Yes my Bro love it.. clean jacket @Jarritos https://t.co/xARi2ObOYz,1834381441095905373,https://pbs.twimg.com/media/GXUIMv9WYAA9LpA.jpg,ZeusCFF,en,Web3,0,0,0,https://x.com/LLCubKing/status/1834381441095905373,227812978,LLCubKing,human
