conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1780023284010250412,Mon Apr 15 23:59:56 +0000 2024,1,Don t miss out on the best IP utility! Fashion passes coming soon! https://t.co/u867Qvc2aA,1780023284010250412,https://pbs.twimg.com/media/GLPpva2bUAACEuo.jpg,,en,"Los Angeles, CA",1,0,0,https://x.com/G24Devon/status/1780023284010250412,1528169579028967424,G24Devon
1780023245150073245,Mon Apr 15 23:59:47 +0000 2024,3,Sacramento &amp; Bay Area appointments available for this week! Limited availability don t miss out #meetups,1780023245150073245,,,en,,0,0,1,https://x.com/Nuru_Goddess/status/1780023245150073245,1596483918584160256,Nuru_Goddess
1780023165755838769,Mon Apr 15 23:59:28 +0000 2024,0,Don t miss out. https://t.co/9P5TN5xtwR,1780023165755838769,,,en,"Amherst, NY",0,0,0,https://x.com/Mzmelinababy02/status/1780023165755838769,1583052163231752195,Mzmelinababy02
1779970515031019655,Mon Apr 15 23:59:16 +0000 2024,0,@y8udotai @apeterminal Join the craze guys!! Don't miss out ,1780023116179403242,,y8udotai,en,,0,1,0,https://x.com/nellystarryy/status/1780023116179403242,1693444200451481600,nellystarryy
1779900668549255670,Mon Apr 15 23:59:13 +0000 2024,0,@Web3Spike Don't miss out!,1780023101163778255,,Web3Spike,en,,0,0,0,https://x.com/winrenchan_/status/1780023101163778255,1740414665950371840,winrenchan_
1780023092636721623,Mon Apr 15 23:59:11 +0000 2024,1,The legendary Joe Pesci rocks his signature BADAZZ GLAZZ sunglasses in this shot from Peacock's Bupkis! Don't miss out on these limited edition shades featured on the show - get yours now at https://t.co/ToaTqb5n7V #JoePesci #Bupkis #BehindTheScenes https://t.co/zHzeMcH4kY,1780023092636721623,https://pbs.twimg.com/media/GLPpYKdacAAh9Fd.jpg,,en,"Burbank, CA",0,0,0,https://x.com/iammikewill/status/1780023092636721623,730623,iammikewill
1780023048973746637,Mon Apr 15 23:59:00 +0000 2024,0,Witness the thrilling moments of horse racing! Our experts have analyzed the upcoming races and provided their top bets and quaddie numbers for the Scone meeting. Don't miss out on this exciting event! #horseracing #SconeRaces #BettingTips https://t.co/BMyiVeHZNh,1780023048973746637,,,en,,0,0,0,https://x.com/HorseBettingAU/status/1780023048973746637,3217555944,HorseBettingAU
1779988066196742518,Mon Apr 15 23:58:44 +0000 2024,0,@ApeCryptos It has to be $SFUND of @SeedifyFund. Its launchpad has 11 launches this April. And lot more this coming May. Really amazing. Don t miss out by staking you $SFUND to get allocated for IDO too.,1780022979209900412,,ApeCryptos,en,Nigeria,0,0,0,https://x.com/_Crypt_E/status/1780022979209900412,1388978208268247058,_Crypt_E
1780022730425065523,Mon Apr 15 23:57:44 +0000 2024,3,Eco-saving #NFTs for action &amp; rewards! Join me to combat climate change earn through daily eco-challenges &amp; support #meltingbears project. Don't miss out opportunity to join @MeltingbearsNFT Zealy Quest and earn rewards https://t.co/etY5mcmCHx,1780022730425065523,,,en,,0,0,0,https://x.com/FalwynFernandes/status/1780022730425065523,1457193162452074503,FalwynFernandes
1779406868575650170,Mon Apr 15 23:57:40 +0000 2024,0,@hamoon70m @Asal136011 Your ticket to the ultimate gaming adventure: $PARAM x @ParamLaboratory. Don't miss out! $BUBBLE @Imaginary_Ones $BEYOND 8839,1780022714071167085,,hamoon70m,en,,0,0,0,https://x.com/Versian_/status/1780022714071167085,53807080,Versian_
1780022651219800407,Mon Apr 15 23:57:25 +0000 2024,45,LIVE EVENT The GRAND MEGA Healing Service in Cumana the State of Sucre April 15 2024! Experience powerful healing and spiritual renewal. Don't miss out! #CumanaHealingService https://t.co/DdrbWlrYrx,1780022651219800407,,,en,Australia,2,14,18,https://x.com/ChrisMidamba/status/1780022651219800407,466361837,ChrisMidamba
1780022607640690840,Mon Apr 15 23:57:15 +0000 2024,0,Get ready to turn up the volume! #DecadesApril20 is only 6 days away! Let's party like it's '99 and make some memories! Don't miss out on the ultimate throwback bash! ,1780022607640690840,,,en,"Kingston,Jamaica",0,0,1,https://x.com/pdyce30/status/1780022607640690840,1528845480180035585,pdyce30
1780022548123574381,Mon Apr 15 23:57:01 +0000 2024,8,⏰ Don't miss out! FREE webinar on The Future of Assessment: Leveraging AI is happening this Wednesday April 17th at 4:00 PM EDT. Register now: https://t.co/OmzoBDM0vb #AIinEducation @FETC @JenWomble @mrhooker @theaieducatorX https://t.co/RCnfdobFsx,1780022548123574381,https://pbs.twimg.com/media/GLPpEvCXMAAOkGh.jpg,,en,New Jersey,0,0,0,https://x.com/ClassTechTips/status/1780022548123574381,575792221,ClassTechTips
