conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1775239440409002221,Tue Apr 02 23:59:59 +0000 2024,0,@krassenstein Can we gag Biden because a Nashville shooter who ACTUALLY killed people was a supporter of Biden?,1775312251668353490,,krassenstein,en,,0,0,0,https://x.com/NovaPrimer_/status/1775312251668353490,1453932611777318914,NovaPrimer_
1775311243395653676,Tue Apr 02 23:59:58 +0000 2024,1,@shrishailendra1 We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your https://t.co/i53RzmawlH may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal.,1775312250531983792,,shrishailendra1,en,,0,1,1,https://x.com/RailwaySeva/status/1775312250531983792,945918632642494464,RailwaySeva
1775261349938868253,Tue Apr 02 23:59:58 +0000 2024,3,@zeynep @davidzweig Okay. Fair enough. I just think we have to be realllly careful about CFR vs IFR. You re a talented writer and I believe you could have added a few clarifying words in that short piece. But we can agree to disagree.,1775312248598127007,,zeynep,en,Earth,0,2,0,https://x.com/ajlamesa/status/1775312248598127007,277851432,ajlamesa
1775234794986614883,Tue Apr 02 23:59:58 +0000 2024,1,@229Horns ️️️️ we can t hear you!,1775312248505799079,,OneStopHorns,en,"Austin, TX",0,0,0,https://x.com/LHFanBattle/status/1775312248505799079,1678907720793989120,LHFanBattle
1775312246895260006,Tue Apr 02 23:59:58 +0000 2024,1,@Spiral166 See the most popular videos in our industry to fight against violence. Play all once per week so we can get to the YouTube 4 000 hr. requirement to monetize our channel. Please subscribe. Give all our videos a thumbs up. Comment. Share. https://t.co/LCqvsaJuiQ,1775312246895260006,,Spiral166,en,"100 King Street West, Toronto",0,0,0,https://x.com/STVASTG/status/1775312246895260006,229270964,STVASTG
1773658033354150145,Tue Apr 02 23:59:57 +0000 2024,0,@elonmusk @alex_avoigt Can we identify as asylum seekers for all the free shit? Be like a tax return!,1775312244018176171,,elonmusk,en,,0,0,0,https://x.com/RyanThu28471183/status/1775312244018176171,1526268901079719936,RyanThu28471183
1775312242801885451,Tue Apr 02 23:59:57 +0000 2024,70,Gaza is starving for 177 days Shame on you for not being ashamed🇸🇦🇯🇴🇪🇬🇦🇪 All we can eat is potato my father only earns one dollar per day 🇵🇸 -Dispalced Palestinian child #Israel #IsraelIsATerroristState #IsraeliButchers #IsraeliNazis #GazaGenocide #GazaIsStarving https://t.co/1GgJ25UXOd,1775312242801885451,https://pbs.twimg.com/ext_tw_video_thumb/1775312168415883264/pu/img/o0vfbHWvYe0l30wm.jpg,,en,,3,16,37,https://x.com/khanhalima18/status/1775312242801885451,1221018063908159489,khanhalima18
1775312240494993419,Tue Apr 02 23:59:56 +0000 2024,0,What is your risk profile? A risk profile is an evaluation of an individual's willingness and ability to take risks. To my clients it s vital and crucial that I know their risk profile so we can avoid mismatch to what product we offer. Are you,1775312240494993419,,,en,"Consolacion, Central Visayas",0,0,0,https://x.com/ron_vladmyrrh/status/1775312240494993419,1342641438979289089,ron_vladmyrrh
1775312239735542097,Tue Apr 02 23:59:56 +0000 2024,1,Join us &amp; HHS this #NationalMinorityHealthMonth &amp; learn how we can be the #SourceforBetterHealth when we are responsive to diverse cultural health beliefs practices &amp; consider how social determinants of health impact the communities we serve: https://t.co/7Hf06Hbu7X #NMHM24 https://t.co/DSfIxuCKXy,1775312239735542097,https://pbs.twimg.com/media/GKMtC8TWQAAKsTX.png,,en,"Silver Spring, Maryland",0,0,0,https://x.com/NationalMedAssn/status/1775312239735542097,17992165,NationalMedAssn
1775312237953208808,Tue Apr 02 23:59:55 +0000 2024,1,Yup... secure our airways so we can fly 'em in ,1775312237953208808,,,en,PNW,0,0,1,https://x.com/jj_talking/status/1775312237953208808,826129656856207360,jj_talking
